Participant_ID,Text_ID,Word_ID,Word,Fixation_Duration
P1,1,1,Aspect--Work,280
P1,1,3,work,275
P1,1,3,work,227
P1,1,4,40,219
P1,1,5,hours,211
P1,1,7,week,239
P1,1,10,this,175
P1,1,9,be,166
P1,1,8,to,230
P1,1,11,poor,197
P1,1,10,this,224
P1,1,11,poor,173
P1,1,8,to,167
P2,1,3,work,269
P2,1,3,work,128
P2,1,3,work,136
P2,1,4,40,116
P2,1,7,week,279
P2,1,7,week,135
P2,1,6,a,252
P2,1,8,to,255
P2,1,7,week,179
P2,1,10,this,254
P2,1,9,be,286
P2,1,10,this,237
P2,1,9,be,138
P2,1,3,work,160
P2,1,1,Aspect--Work,141
P3,1,3,work,428
P3,1,5,hours,251
P3,1,7,week,70
P3,1,5,hours,243
P3,1,7,week,258
P3,1,9,be,233
P3,1,10,this,306
P3,1,10,this,128
P3,1,3,work,551
P4,1,1,Aspect--Work,237
P4,1,3,work,92
P4,1,3,work,139
P4,1,4,40,240
P4,1,6,a,109
P4,1,5,hours,179
P4,1,7,week,225
P4,1,9,be,240
P4,1,10,this,201
P5,1,1,Aspect--Work ,239
P5,1,3,work ,664
P5,1,5,hours ,171
P5,1,7,week ,176
P5,1,6,a ,144
P5,1,7,week ,175
P5,1,10,this ,494
P5,1,9,be ,641
P6,1,3,work ,102
P6,1,3,work ,236
P6,1,4,40,200
P6,1,5,hours ,178
P6,1,7,week ,178
P6,1,8,to ,250
P6,1,10,this ,354
P6,1,1,Aspect--Work ,292
P6,1,3,work ,212
P6,1,3,work ,196
P7,1,4,40,349
P7,1,6,a ,241
P7,1,8,to ,205
P7,1,9,be ,258
P7,1,7,week ,389
P7,1,10,this ,201
P7,1,4,40,270
P7,1,6,a ,173
P7,1,9,be ,227
P7,1,10,this ,377
P7,1,5,hours ,188
P1,2,1,Aspect--Perfume,244
P1,2,3,perfume.,166
P1,2,2,Nice,89
P1,2,5,you,227
P1,2,6,marinate,164
P1,2,4,Must,366
P1,2,6,marinate,294
P1,2,6,marinate,150
P1,2,8,it?,183
P1,2,4,Must,301
P1,2,3,perfume.,143
P1,2,2,Nice,459
P1,2,3,perfume.,175
P1,2,4,Must,372
P1,2,7,in,201
P1,2,1,Aspect--Perfume,239
P1,2,1,Aspect--Perfume,193
P2,2,2,Nice,267
P2,2,3,perfume.,159
P2,2,3,perfume.,134
P2,2,5,you,124
P2,2,4,Must,142
P2,2,6,marinate,224
P2,2,5,you,166
P2,2,6,marinate,233
P2,2,6,marinate,362
P2,2,6,marinate,240
P2,2,7,in,277
P2,2,8,it?,155
P2,2,1,Aspect--Perfume,189
P2,2,6,marinate,174
P2,2,7,in,139
P2,2,4,Must,173
P2,2,6,marinate,204
P2,2,1,Aspect--Perfume,87
P3,2,3,perfume.,213
P3,2,2,Nice,165
P3,2,3,perfume.,111
P3,2,5,you,244
P3,2,4,Must,166
P3,2,6,marinate,297
P3,2,4,Must,170
P3,2,6,marinate,224
P3,2,6,marinate,209
P3,2,3,perfume.,209
P3,2,2,Nice,406
P3,2,1,Aspect--Perfume,51
P4,2,1,Aspect--Perfume,235
P4,2,1,Aspect--Perfume,120
P4,2,2,Nice,148
P4,2,3,perfume.,142
P4,2,5,you,58
P4,2,4,Must,167
P4,2,6,marinate,252
P4,2,5,you,146
P4,2,6,marinate,83
P4,2,6,marinate,370
P4,2,7,in,134
P4,2,7,in,383
P4,2,5,you,180
P5,2,2,Nice ,250
P5,2,3,perfume. ,221
P5,2,5,you ,226
P5,2,6,marinate ,249
P5,2,5,you ,432
P5,2,4,Must ,126
P5,2,6,marinate ,259
P5,2,7,in ,140
P5,2,4,Must ,229
P5,2,5,you ,138
P5,2,2,Nice ,236
